LONGITUDE,LATITUDE,OBJECTID,CODIGO,TIPO,NOME,FONTE,CD_REGIONA,NM_REGIONA,SHAPE_AREA,SHAPE_LEN
-49.291904323452,-25.5238335506582,48,66,DIVISA DE BAIRROS,PINHEIRINHO,Decreto Municipal 774 / 1975,8,REGIONAL PINHEIRINHO,10513792.6727,17929.308381
-49.3281015819077,-25.5608130066372,49,74,DIVISA DE BAIRROS,TATUQUARA,Decreto Municipal 774 / 1975,12,REGIONAL TATUQUARA,11234800.3772,21895.608696
-49.287871484874,-25.5822018935423,50,73,DIVISA DE BAIRROS,UMBARÁ,Decreto Municipal 774 / 1975,10,REGIONAL BAIRRO NOVO,22449467.5454,26556.818181
-49.3273878731327,-25.6014393591863,52,71,DIVISA DE BAIRROS,CAMPO DE SANTANA,Decreto Municipal 774 / 1975,12,REGIONAL TATUQUARA,21579444.8826,26635.136348
-49.2558573578102,-25.5756153581925,53,72,DIVISA DE BAIRROS,GANCHINHO,Decreto Municipal 774 / 1975,10,REGIONAL BAIRRO NOVO,11359302.4486,22063.150474
-49.205405235923,-25.4615035435501,55,21,DIVISA DE BAIRROS,CAJURU,Decreto Municipal 774 / 1975,3,REGIONAL CAJURU,11793846.2471,16179.350556
-49.212345217861,-25.4899316858799,58,37,DIVISA DE BAIRROS,UBERABA,Decreto Municipal 774 / 1975,3,REGIONAL CAJURU,14208261.334,22153.061767
-49.2798519212494,-25.3673847870342,59,49,DIVISA DE BAIRROS,TABOÃO,Decreto Municipal 774 / 1975,4,REGIONAL BOA VISTA,1827572.88837,9731.154168
-49.258789228784,-25.3552058970126,60,51,DIVISA DE BAIRROS,CACHOEIRA,Decreto Municipal 774 / 1975,4,REGIONAL BOA VISTA,3221611.2246,8921.574026
-49.2288896256701,-25.3663442968428,61,53,DIVISA DE BAIRROS,SANTA CÂNDIDA,Decreto Municipal 774 / 1975,4,REGIONAL BOA VISTA,10191780.9087,16660.276957
-49.3303418448556,-25.4963870019363,62,75,DIVISA DE BAIRROS,CIDADE INDUSTRIAL DE CURITIBA,Decreto Municipal 774 / 1975,11,REGIONAL CIC,44312604.6523,48425.847271
-49.3362663391908,-25.3614397048219,63,62,DIVISA DE BAIRROS,LAMENHA PEQUENA,Decreto Municipal 774 / 1975,5,REGIONAL SANTA FELICIDADE,3512540.7436,12108.182929
-49.2943725340282,-25.4225687172681,64,12,DIVISA DE BAIRROS,MERCÊS,Decreto Municipal 774 / 1975,1,REGIONAL MATRIZ,3593403.95594,9153.605539
-49.3225349174148,-25.4264387888585,67,46,DIVISA DE BAIRROS,SANTO INÁCIO,Decreto Municipal 774 / 1975,5,REGIONAL SANTA FELICIDADE,3358255.68825,10446.540072
-49.2936382637974,-25.4068661575977,69,31,DIVISA DE BAIRROS,VISTA ALEGRE,Decreto Municipal 774 / 1975,5,REGIONAL SANTA FELICIDADE,3698848.43803,10150.085813
-49.3511749573195,-25.415167690353,70,60,DIVISA DE BAIRROS,SÃO BRAZ,Decreto Municipal 774 / 1975,5,REGIONAL SANTA FELICIDADE,5060314.52389,11698.605208
-49.3119205204156,-25.3940631103355,71,48,DIVISA DE BAIRROS,SÃO JOÃO,Decreto Municipal 774 / 1975,5,REGIONAL SANTA FELICIDADE,3036122.13461,8110.401859
-49.3133450931531,-25.4125184327291,74,47,DIVISA DE BAIRROS,CASCATINHA,Decreto Municipal 774 / 1975,5,REGIONAL SANTA FELICIDADE,2182141.59024,8730.820987
-49.3291086647681,-25.3953301146915,75,63,DIVISA DE BAIRROS,SANTA FELICIDADE,Decreto Municipal 774 / 1975,5,REGIONAL SANTA FELICIDADE,12175993.2665,19182.712064
